Frequency,Returnloss,Returnphase,Transmissionloss,Transmissionphase,Rs,Xs,|Z|,Magnitude,SWR,C,,,Xc-calc,,,,,,
100000,-0.410557185,57.71260997,0,0,5.063137881,90.52121411,90.66270219,0.953832554,42.32056851,17590.97802,,1.95675037,1.73E-15,(remove this),,,,X_L,265
327146,0.117302053,2.11143695,0,0,876.8164125,2392.000944,2547.641171,1.013596501,148.0966691,203.4873402,,3.378761347,5.29E-16,,,,,L,0.00000147
554292,0.058651026,4.574780059,0,0,105.2212618,1242.867783,1247.31385,1.006775298,296.1899621,231.1409081,,3.094424931,3.12E-16,,,,,C,1.73E-10
781438,0.058651026,8.797653959,0,0,28.64104421,648.7249151,649.3568548,1.006775298,296.1899621,314.1125236,,2.812060578,2.21E-16,,,,,,
1008584,0.117302053,13.19648094,0,0,25.48338114,430.766055,431.5191732,1.013596501,148.0966691,366.5108274,,2.634241473,1.72E-16,,,,,,
1235730,0.117302053,17.41935484,0,0,14.69503742,325.7350487,326.0663522,1.013596501,148.0966691,395.5963496,,2.512864491,1.40E-16,,,,,,
1462876,0.175953079,21.46627566,0,0,14.55953232,263.0032319,263.4059225,1.020463919,98.73298842,413.8774418,,2.419961085,1.18E-16,,,,,,
1690022,0.117302053,25.51319648,0,0,6.918342401,220.6437073,220.7521439,1.013596501,148.0966691,427.0280981,,2.343691546,1.02E-16,,,,,,
1917168,0.175953079,29.5601173,0,0,7.76990643,189.2111715,189.3706389,1.020463919,98.73298842,438.9685539,,2.276946775,9.02E-17,,,,,,
2144314,0.175953079,33.43108504,0,0,6.11469546,166.2883486,166.4007343,1.020463919,98.73298842,446.5706277,,2.22086182,8.07E-17,,,,,,
2371460,0.175953079,37.30205279,0,0,4.947104804,147.9870045,148.0696706,1.020463919,98.73298842,453.7336335,,2.17022358,7.30E-17,,,,,,
2598606,0.234604106,40.99706745,0,0,5.498921279,133.5428813,133.6560485,1.027377867,74.05171074,458.8589183,,2.125620742,6.66E-17,,,,,,
2825752,0.175953079,44.69208211,0,0,3.501233331,121.547834,121.5982507,1.020463919,98.73298842,463.6167185,,2.084747224,6.12E-17,,,,,,
3052898,0.234604106,48.2111437,0,0,4.044148869,111.625188,111.6984232,1.027377867,74.05171074,467.2678045,,2.047762203,5.67E-17,,,,,,
3280044,0.234604106,51.73020528,0,0,3.54502771,103.0320083,103.0929772,1.027377867,74.05171074,471.1818161,,2.012972165,5.27E-17,,,,,,
3507190,0.234604106,55.24926686,0,0,3.138446447,95.46012607,95.51170355,1.027377867,74.05171074,475.61885,,1.979822004,4.93E-17,,,,,,
3734336,0.234604106,58.59237537,0,0,2.818315596,89.04501446,89.08960379,1.027377867,74.05171074,478.8696975,,1.949609609,4.63E-17,,,,,,
3961482,0.293255132,61.75953079,0,0,3.201446703,83.52054326,83.58187846,1.034338658,59.24339427,481.2706295,,1.921793311,4.37E-17,,,,,,
4188628,0.293255132,64.92668622,0,0,2.927280181,78.51752849,78.57207678,1.034338658,59.24339427,484.1745348,,1.894966621,4.13E-17,,,,,,
