Frequency,Returnloss,Returnphase,Transmissionloss,Transmissionphase,Rs,Xs,|Z|,Magnitude,SWR
100000,-0.234604106,53.84164223,0,0,3.291502197,98.3791486,98.43419562,0.973351707,74.05171074
327146,0.117302053,2.11143695,0,0,876.8164125,2392.000944,2547.641171,1.013596501,148.0966691
554292,0.058651026,4.750733138,0,0,97.62589711,1197.403943,1201.377134,1.006775298,296.1899621
781438,0.058651026,8.973607038,0,0,27.53312728,636.001864,636.5975527,1.006775298,296.1899621
1008584,0.117302053,13.37243402,0,0,24.82234903,425.0853938,425.8095126,1.013596501,148.0966691
1235730,0.117302053,17.59530792,0,0,14.40542686,322.4393493,322.7609801,1.013596501,148.0966691
1462876,0.175953079,21.9941349,0,0,13.87907798,256.5746325,256.9497438,1.020463919,98.73298842
1690022,0.117302053,26.04105572,0,0,6.645561317,216.026283,216.1284767,1.013596501,148.0966691
1917168,0.175953079,30.26392962,0,0,7.421206034,184.6200866,184.7691822,1.020463919,98.73298842
2144314,0.175953079,34.31085044,0,0,5.814336359,161.7791031,161.8835529,1.020463919,98.73298842
2371460,0.234604106,38.35777126,0,0,6.246846368,143.5084591,143.6443556,1.027377867,74.05171074
2598606,0.234604106,42.40469208,0,0,5.155863219,128.7125593,128.8157826,1.027377867,74.05171074
2825752,0.234604106,46.4516129,0,0,4.33739001,116.3772881,116.4580875,1.027377867,74.05171074
3052898,0.234604106,50.32258065,0,0,3.732116852,106.3347221,106.4001965,1.027377867,74.05171074
3280044,0.234604106,54.19354839,0,0,3.252113305,97.63630106,97.69044747,1.027377867,74.05171074
3507190,0.293255132,58.06451613,0,0,3.580177114,89.9738636,90.04506538,1.034338658,59.24339427
3734336,0.293255132,61.75953079,0,0,3.201446703,83.52054326,83.58187846,1.034338658,59.24339427
3961482,0.351906158,65.45454545,0,0,3.46134058,77.69242849,77.76949481,1.041346611,49.37155837
4188628,0.351906158,69.14956012,0,0,3.14206399,72.45508455,72.52318142,1.041346611,49.37155837
4415774,0.410557185,72.84457478,0,0,3.348054681,67.65593096,67.73872205,1.048402045,42.32056851
4642920,0.410557185,76.53958944,0,0,3.077056206,63.28748327,63.3622428,1.048402045,42.32056851
4870066,0.410557185,80.05865103,0,0,2.853713939,59.44550173,59.51395936,1.048402045,42.32056851
5097212,0.469208211,83.57771261,0,0,3.037636554,55.85207393,55.93461717,1.055505281,37.03260741
5324358,0.469208211,86.92082111,0,0,2.851292033,52.68072476,52.75783001,1.055505281,37.03260741
5551504,0.527859238,90.4398827,0,0,3.011786946,49.52680763,49.61829839,1.062656644,32.91999879
5778650,0.527859238,93.7829912,0,0,2.847351485,46.72213195,46.80881353,1.062656644,32.91999879
6005796,0.527859238,96.95014663,0,0,2.707810477,44.20222118,44.28508321,1.062656644,32.91999879
6232942,0.586510264,100.1173021,0,0,2.868378163,41.78677534,41.88510698,1.06985646,29.63013689
6460088,0.586510264,103.2844575,0,0,2.742377192,39.49629895,39.59139128,1.06985646,29.63013689
6687234,0.64516129,106.4516129,0,0,2.890640026,37.28946818,37.40134004,1.077105056,26.93863623
6914380,0.64516129,109.6187683,0,0,2.777144123,35.18615935,35.29558526,1.077105056,26.93863623
7141526,0.64516129,112.6099707,0,0,2.679657235,33.27324214,33.3809707,1.077105056,26.93863623
7368672,0.703812317,115.601173,0,0,2.825648404,31.41391461,31.54074064,1.084402764,24.69590648
7595818,0.703812317,118.5923754,0,0,2.737036672,29.62651165,29.7526732,1.084402764,24.69590648
7822964,0.703812317,121.4076246,0,0,2.660642436,27.9938677,28.12002217,1.084402764,24.69590648
