Reading no,start(keV),end(keV),net count,gross count,centroid,time,width,comments,peak,net per unit time,net per unit gross,N_0,mu,,gross per unit time,N_0 gross,mu_gross,mu_m,mu_m_for_gross,,mu_m_net avg,mu_m_gross_avg,mu_m_net sd,mu_m_gross_sd,
No barrier,,,,,,,,,,,,,,,,,,,,,,,,,
1,590,770,667580,701949,683.441,886,0,,687.28,753.476298,792.2674944,,,,792.2674944,,,,0,,,,,,
,590,740,605049,694675,682.728,886,,,687.28,682.8995485,784.0575621,,,,784.0575621,,,,0,,,,,,
,600,740,606201,691270,683.162,886,,,687.28,684.1997743,780.214447,,,,780.214447,,,,0,,,,,,
,630,700,111287,490823,674.414,886,,,687.28,125.6060948,553.976298,,,,553.976298,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,590,740,,,,,0,,,,,,,,#DIV/0!,,,,,,,,,,
,600,740,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,
,610,770,698038,738982,692.306,,,,,,,,,,#DIV/0!,,,,,,,,,,
,630,700,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,
Cu,,,,,,,,,,,,,,,,,,,,,0.157218569,0.174465465,0.173416462,0.136600249,
3,590,740,2587,3482,652.764,897.21,1.3,,,2.883382932,,682.8995485,4.205682476,,3.88091974,784.0575621,4.08339526,0.483968064,0.469895887,,,,,,
,600,740,2298,3339,655.235,897.21,1.3,,,2.561273281,,683.162,4.297100975,,3.721536764,780.214447,4.111873629,0.494488029,0.47317303,,,,,,
,630,700,1104,2520,661.249,897.21,1.3,,,1.230481158,,674.414,4.851110099,,2.808706992,553.976298,4.064924019,0.558240518,0.467770313,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
4,460,580,35860,62749,514.92,,,Positron electron annihilation with Na22! Cu barrier,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
5,590,740,32554,41030,661.341,243,1.3,,667,133.9670782,,682.899549,1.252888297,,168.8477366,784.057562,1.181143176,0.144175869,0.135919813,,,,,,
,600,740,,,,243,,,,,,683.162,#NUM!,,0,780.214447,#NUM!,0,0,,,,,,
,630,700,,,,243,,,,,,674.414,#NUM!,,0,553.976298,#NUM!,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
6,590,740,12831,15685,662.302,94,1.3,,667,136.5,,682.899549,1.238480188,,166.8617021,784.057562,1.190244724,0.142517858,0.136967172,,,,,,
,600,740,,,,94,,,,,,683.162,#NUM!,,0,780.214447,#NUM!,0,0,,,,,,
,630,700,,,,94,,,,,,674.414,#NUM!,,0,553.976298,#NUM!,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
7,590,740,4868,6969,660.394,170,2.6,,677,28.63529412,,682.899549,1.21988842,,40.99411765,784.057562,1.135021477,0.140378414,0.130612368,,,,,,
,600,740,,,,170,,,,,,683.162,#NUM!,,0,780.214447,#NUM!,0,0,,,,,,
,630,700,,,,170,,,,,,674.414,#NUM!,,0,553.976298,#NUM!,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
8,590,740,9075,13201,660.271,324,2.6,,672,2.015432099,,682.899549,2.240583877,,40.74382716,784.057562,1.137376954,0.257834738,0.130883424,,,,,,
,600,740,,,,324,,,,,,683.162,#NUM!,,0,780.214447,#NUM!,0,0,,,,,,
,630,700,,,,324,,,,,,674.414,#NUM!,,0,553.976298,#NUM!,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
9,590,740,4321,6272,657.969,452,3.9,,670.07,81.90707965,,682.899549,0.543785583,,13.87610619,784.057562,1.034440197,0.062576016,0.119037997,,,,,,
,600,740,3492,5943,661.442,452,3.9,,670.07,79.39823009,,683.162,0.55186087,,13.14823009,780.214447,1.046996001,0.063505278,0.120482854,,,,,,
,630,700,,,,452,,,,,,674.414,#NUM!,,0,553.976298,#NUM!,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10,590,740,851,1827,656.215,264,5.2,,664,314.6325758,,682.899549,0.149027455,,6.920454545,784.057562,0.909616186,0.017149304,0.104673899,,,,,,
,600,740,1092,1723,659.73,264,5.2,,664,310.7462121,,683.162,0.15149154,,6.526515152,780.214447,0.919942096,0.017432858,0.105862151,,,,,,
,630,700,223,1204,664.381,264,5.2,,664,130.1818182,,674.414,0.316329461,,4.560606061,553.976298,0.923013386,0.036401549,0.10621558,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
11,590,740,873,2651,655.086,803,6,,677.14,21.54420922,,682.899549,0.576040506,,3.301369863,784.057562,0.911691438,0.066287745,0.104912709,,,,,,
,600,740,742,2493,659,803,6,,677.14,21.15691158,,683.162,0.579127953,,3.104607721,780.214447,0.921114194,0.066643033,0.10599703,,,,,,
,630,700,403,1593,664.294,803,6,,677.14,9.079701121,,674.414,0.717967631,,1.98381071,553.976298,0.938684349,0.082619981,0.108018912,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12,590,740,653,1761,653.4,531,6,,670.27,30.89453861,,682.899549,0.515961739,,3.316384181,784.057562,0.910935171,0.059374193,0.104825681,,,,,,
,600,740,565,1616,658.526,531,6,,670.27,30.7834275,,683.162,0.516626271,,3.043314501,780.214447,0.924437555,0.059450664,0.106379465,,,,,,
,630,700,382,1014,664.5,531,6,,670.27,12.24105461,,674.414,0.668175238,,1.90960452,553.976298,0.945038259,0.076890131,0.108750087,,,,,,
Al,,,,,,,,,,,,,,,,,,,,,0.28454952,0.271747378,0.104550138,0.211720678,
13,590,740,37022,40623,667,99,0.9,,672,373.959596,,682.899549,0.669111579,,410.3333333,784.057562,0.71945893,0.247819103,0.26646627,,,,,,
,600,740,35888,40159,668,99,0.9,,672,362.5050505,,683.162,0.704104489,,405.6464646,780.214447,0.726763612,0.26077944,0.269171708,,,,,,
,630,700,15151,33398,667.477,99,0.9,,672,153.040404,,674.414,1.647936887,,337.3535354,553.976298,0.551100877,0.610346995,0.204111436,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
14,590,740,83063,93114,669.4,232,0.9,,674,358.0301724,,682.899549,0.71747883,,401.3534483,784.057562,0.744044925,0.2657329,0.275572195,,,,,,
,600,740,82037,55528,670.315,232,0.9,,674,353.6077586,,683.162,0.731715768,,239.3448276,780.214447,1.312960337,0.27100584,0.486281606,,,,,,
,630,700,34368,75319,669,232,0.9,,674,148.137931,,674.414,1.684112643,,324.6508621,553.976298,0.593746586,0.623745423,0.219906143,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
15,590,740,17300,20676,668.7,140,2,,675,123.5714286,,682.899549,0.854764784,,147.6857143,784.057562,0.834698549,0.31657955,0.309147611,,,,,,
,600,740,16989,20280,670,140,2,,675,121.35,,683.162,0.864027125,,144.8571429,780.214447,0.841910956,0.320010046,0.311818872,,,,,,
,630,700,7291,16.253,669,140,2,,675,52.07857143,,674.414,1.280546161,,0.116092857,553.976298,4.235246258,0.474276356,1.568609725,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
16,590,740,16405,20156,669.4,133,2,,675,123.3458647,,682.899549,0.855678305,,151.5488722,784.057562,0.821787691,0.316917891,0.304365812,,,,,,
,600,740,16346,19777,670.8,133,2,,675,122.9022556,,683.162,0.857671902,,148.6992481,780.214447,0.828822066,0.31765626,0.306971136,,,,,,
