Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,154
Upper Discriminator:,1056
Lower Discriminator:,12
Calibration Coefficients:,-1.3173076923076934,1.0096153846153846
Calibration Channels:,0,0
Calibration Energies:,0.0,0.0
Elapsed Real Time:,170.9
Elapsed Live Time:,170.16
Start Time:,March 05, 2019, 02:24:11
End Time:,March 05, 2019, 02:27:02
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,-1.3173076923076934,0
1,-0.3076923076923088,0
2,0.7019230769230758,0
3,1.7115384615384603,0
4,2.721153846153845,0
5,3.73076923076923,0
6,4.740384615384614,0
7,5.749999999999998,0
8,6.759615384615383,0
9,7.769230769230768,0
10,8.778846153846153,0
11,9.788461538461537,52
12,10.798076923076922,92
13,11.807692307692307,89
14,12.81730769230769,78
15,13.826923076923075,92
16,14.83653846153846,91
17,15.846153846153843,88
18,16.85576923076923,91
19,17.865384615384613,80
20,18.875,91
21,19.884615384615383,89
22,20.894230769230766,91
23,21.903846153846153,83
24,22.913461538461537,99
25,23.92307692307692,84
26,24.932692307692307,82
27,25.94230769230769,95
28,26.951923076923073,116
29,27.96153846153846,100
30,28.971153846153843,105
31,29.98076923076923,121
32,30.990384615384613,91
33,32.0,88
34,33.00961538461538,125
35,34.01923076923077,81
36,35.02884615384615,82
37,36.03846153846153,115
38,37.04807692307692,82
39,38.05769230769231,87
40,39.06730769230769,83
41,40.07692307692307,91
42,41.08653846153846,94
43,42.09615384615385,85
44,43.105769230769226,88
45,44.11538461538461,104
46,45.125,112
47,46.13461538461538,86
48,47.14423076923077,85
49,48.15384615384615,105
50,49.16346153846153,88
51,50.17307692307692,101
52,51.18269230769231,90
53,52.192307692307686,91
54,53.20192307692307,101
55,54.21153846153846,103
56,55.22115384615384,87
57,56.230769230769226,115
58,57.24038461538461,118
59,58.25,99
60,59.25961538461538,121
61,60.26923076923077,116
62,61.27884615384615,118
63,62.28846153846153,106
64,63.29807692307692,110
65,64.3076923076923,124
66,65.3173076923077,114
67,66.32692307692308,125
68,67.33653846153845,119
69,68.34615384615384,119
70,69.35576923076923,121
71,70.36538461538461,119
72,71.375,111
73,72.38461538461539,146
74,73.39423076923076,125
75,74.40384615384615,124
76,75.41346153846153,134
77,76.42307692307692,145
78,77.4326923076923,141
79,78.4423076923077,135
80,79.45192307692308,149
81,80.46153846153845,140
82,81.47115384615384,138
83,82.48076923076923,147
84,83.49038461538461,138
85,84.5,131
86,85.50961538461539,150
87,86.51923076923076,153
88,87.52884615384615,142
89,88.53846153846153,151
90,89.54807692307692,127
91,90.5576923076923,141
92,91.5673076923077,146
93,92.57692307692307,119
94,93.58653846153845,144
95,94.59615384615384,138
96,95.60576923076923,130
97,96.61538461538461,143
98,97.625,135
99,98.63461538461539,120
100,99.64423076923076,128
101,100.65384615384615,146
102,101.66346153846153,130
103,102.67307692307692,135
104,103.6826923076923,151
105,104.6923076923077,131
106,105.70192307692307,138
107,106.71153846153845,133
108,107.72115384615384,157
109,108.73076923076923,158
110,109.74038461538461,143
111,110.75,158
112,111.75961538461537,158
113,112.76923076923076,145
114,113.77884615384615,148
115,114.78846153846153,144
116,115.79807692307692,162
117,116.8076923076923,173
118,117.8173076923077,149
119,118.82692307692307,156
120,119.83653846153845,136
121,120.84615384615384,179
122,121.85576923076923,165
123,122.86538461538461,156
124,123.875,162
125,124.88461538461537,165
126,125.89423076923076,199
127,126.90384615384615,159
128,127.91346153846153,209
129,128.9230769230769,139
130,129.93269230769232,184
131,130.94230769230768,189
132,131.9519230769231,149
133,132.96153846153845,181
134,133.97115384615387,176
135,134.98076923076923,182
136,135.99038461538458,181
137,137.0,161
138,138.00961538461536,201
139,139.01923076923077,186
140,140.02884615384613,196
141,141.03846153846155,202
142,142.0480769230769,164
143,143.05769230769232,176
144,144.06730769230768,180
145,145.0769230769231,173
146,146.08653846153845,179
147,147.09615384615387,173
148,148.10576923076923,196
149,149.11538461538458,197
150,150.125,197
151,151.13461538461536,192
152,152.14423076923077,151
153,153.15384615384613,179
154,154.16346153846155,175
155,155.1730769230769,192
156,156.18269230769232,218
157,157.19230769230768,156
158,158.2019230769231,180
159,159.21153846153845,194
160,160.22115384615387,190
161,161.23076923076923,175
162,162.24038461538458,166
163,163.25,197
164,164.25961538461536,212
165,165.26923076923077,197
166,166.27884615384613,177
167,167.28846153846155,189
168,168.2980769230769,215
169,169.30769230769232,162
170,170.31730769230768,187
171,171.3269230769231,159
172,172.33653846153845,186
173,173.3461538461538,193
174,174.35576923076923,177
175,175.36538461538458,186
176,176.375,216
177,177.38461538461536,182
178,178.39423076923077,187
179,179.40384615384613,184
180,180.41346153846155,191
181,181.4230769230769,224
182,182.43269230769232,167
183,183.44230769230768,188
184,184.4519230769231,185
185,185.46153846153845,188
186,186.4711538461538,190
187,187.48076923076923,180
188,188.49038461538458,194
189,189.5,205
190,190.50961538461536,190
191,191.51923076923077,233
192,192.52884615384613,188
193,193.53846153846155,214
194,194.5480769230769,205
195,195.55769230769232,192
196,196.56730769230768,199
197,197.5769230769231,197
198,198.58653846153845,184
199,199.5961538461538,173
200,200.60576923076923,205
201,201.61538461538458,174
202,202.625,178
203,203.63461538461536,202
204,204.64423076923077,169
205,205.65384615384613,168
206,206.66346153846155,168
207,207.6730769230769,178
208,208.68269230769232,194
209,209.69230769230768,172
210,210.7019230769231,171
211,211.71153846153845,174
212,212.7211538461538,161
213,213.73076923076923,158
214,214.74038461538458,166
215,215.75,169
216,216.75961538461536,169
217,217.76923076923077,173
218,218.77884615384613,160
219,219.78846153846155,155
220,220.7980769230769,166
221,221.80769230769232,193
222,222.81730769230768,160
223,223.8269230769231,158
224,224.83653846153845,182
225,225.8461538461538,177
226,226.85576923076923,169
227,227.86538461538458,156
228,228.875,173
229,229.88461538461536,147
230,230.89423076923077,131
231,231.90384615384613,151
232,232.91346153846155,158
233,233.9230769230769,125
234,234.93269230769232,145
235,235.94230769230768,126
236,236.9519230769231,154
237,237.96153846153845,148
238,238.9711538461538,157
239,239.98076923076923,132
240,240.99038461538458,130
241,242.0,118
242,243.00961538461536,133
243,244.01923076923077,144
244,245.02884615384613,154
245,246.03846153846155,135
246,247.0480769230769,131
247,248.05769230769232,135
248,249.06730769230768,112
249,250.0769230769231,140
250,251.08653846153845,145
251,252.0961538461538,152
252,253.10576923076923,123
253,254.11538461538458,146
254,255.125,135
255,256.1346153846154,124
256,257.1442307692308,135
257,258.15384615384613,117
258,259.16346153846155,123
259,260.1730769230769,131
260,261.1826923076923,152
261,262.1923076923077,139
262,263.2019230769231,143
263,264.21153846153845,119
264,265.22115384615387,137
265,266.2307692307692,118
266,267.24038461538464,131
267,268.25,117
268,269.2596153846154,140
269,270.2692307692308,114
270,271.27884615384613,114
271,272.28846153846155,137
272,273.2980769230769,114
273,274.3076923076923,102
274,275.3173076923077,102
275,276.3269230769231,118
276,277.33653846153845,119
277,278.34615384615387,119
278,279.3557692307692,112
279,280.36538461538464,124
280,281.375,105
281,282.3846153846154,119
282,283.3942307692308,110
283,284.40384615384613,116
284,285.41346153846155,127
285,286.4230769230769,111
286,287.4326923076923,116
287,288.4423076923077,110
288,289.4519230769231,130
289,290.46153846153845,130
290,291.47115384615387,93
291,292.4807692307692,95
292,293.49038461538464,119
293,294.5,111
294,295.5096153846154,120
295,296.5192307692308,105
296,297.52884615384613,100
297,298.53846153846155,104
298,299.5480769230769,109
299,300.5576923076923,116
300,301.5673076923077,124
301,302.5769230769231,98
302,303.58653846153845,119
303,304.59615384615387,106
304,305.6057692307692,105
305,306.61538461538464,102
306,307.625,88
307,308.6346153846154,107
308,309.6442307692308,90
309,310.65384615384613,117
310,311.66346153846155,116
311,312.6730769230769,104
312,313.6826923076923,93
313,314.6923076923077,101
314,315.7019230769231,113
315,316.71153846153845,84
316,317.72115384615387,110
317,318.7307692307692,109
318,319.74038461538464,103
319,320.75,105
320,321.7596153846154,93
321,322.7692307692308,102
322,323.77884615384613,100
323,324.78846153846155,98
324,325.7980769230769,81
325,326.8076923076923,106
326,327.8173076923077,117
327,328.8269230769231,81
328,329.83653846153845,107
329,330.84615384615387,80
330,331.8557692307692,87
331,332.86538461538464,96
332,333.875,82
333,334.88461538461536,93
334,335.8942307692308,96
335,336.90384615384613,81
336,337.91346153846155,90
337,338.9230769230769,89
338,339.9326923076923,105
339,340.9423076923077,91
340,341.9519230769231,95
341,342.96153846153845,95
342,343.97115384615387,79
343,344.9807692307692,111
344,345.99038461538464,87
345,347.0,91
346,348.00961538461536,90
347,349.0192307692308,106
348,350.02884615384613,105
349,351.03846153846155,86
350,352.0480769230769,88
351,353.0576923076923,89
352,354.0673076923077,94
353,355.0769230769231,78
354,356.08653846153845,93
355,357.09615384615387,89
356,358.1057692307692,93
357,359.11538461538464,82
358,360.125,99
359,361.13461538461536,80
360,362.1442307692308,91
361,363.15384615384613,82
362,364.16346153846155,99
363,365.1730769230769,103
364,366.1826923076923,96
365,367.1923076923077,94
366,368.2019230769231,93
367,369.21153846153845,75
368,370.22115384615387,94
369,371.2307692307692,105
370,372.24038461538464,83
371,373.25,85
372,374.25961538461536,86
373,375.2692307692308,66
374,376.27884615384613,61
375,377.28846153846155,83
376,378.2980769230769,84
377,379.3076923076923,94
378,380.3173076923077,94
379,381.3269230769231,78
380,382.33653846153845,79
381,383.34615384615387,85
382,384.3557692307692,70
383,385.36538461538464,66
384,386.375,62
385,387.38461538461536,77
386,388.3942307692308,75
387,389.40384615384613,74
388,390.41346153846155,82
389,391.4230769230769,75
390,392.4326923076923,66
391,393.4423076923077,93
392,394.4519230769231,68
