Frequency,Returnloss,Returnphase,Transmissionloss,Transmissionphase,Rs,Xs,|Z|,Magnitude,SWR
100000,0.117302053,56.30498534,0,0,1.516362842,93.41641665,93.42872286,1.013596501,148.0966691
324875,-0.293255132,14.25219941,0,0,53.86002124,392.6666249,396.3432606,0.966801339,59.24339427
549750,-0.82111437,28.85630499,0,0,36.7988152,187.585071,191.1604344,0.909796541,21.17209884
774625,-1.759530792,44.16422287,0,0,33.63014803,114.8779245,119.6993083,0.816626484,9.906700398
999500,-3.049853372,60.17595308,0,0,31.71886596,76.7826768,83.07626565,0.70389411,5.754340491
1224375,-4.750733138,78.12316716,0,0,30.32236113,51.63890247,59.88340198,0.57871314,3.747359076
1449250,-6.862170088,98.70967742,0,0,29.55327228,33.39238742,44.59201095,0.453828218,2.661851573
1674125,-9.325513196,124.398827,0,0,29.38198613,18.76277094,34.86176534,0.341762447,2.038416739
1899000,-10.85043988,157.1260997,0,0,28.49223238,6.920114762,29.32056095,0.286733216,1.803999913
2123875,-9.970674487,163.9882698,0,0,26.28594011,5.116257261,26.77922209,0.317297226,1.929532554
2348750,-7.80058651,125.8064516,0,0,25.38884737,20.112413,32.38985532,0.407352771,2.374688855
2573625,-5.865102639,94.83870968,0,0,27.54250035,37.71168102,46.69861038,0.509031746,3.073583135
2798500,-4.633431085,71.43695015,0,0,33.78938018,57.29053092,66.51260893,0.586581613,3.837714201
3023375,-3.636363636,54.01759531,0,0,42.9798066,80.69615737,91.42829754,0.657933225,4.846811629
3248250,-2.93255132,39.58944282,0,0,59.96246621,111.0606372,126.2139552,0.713464607,5.979940527
3473125,-2.404692082,27.27272727,0,0,93.63350736,153.0145113,179.3897276,0.758167905,7.270200866
3698000,-1.994134897,15.83577713,0,0,179.7553118,211.7904467,277.7897864,0.794864782,8.749666678
3922875,-1.818181818,5.454545455,0,0,397.5922,179.2369726,436.1254978,0.811130831,9.589340803
4147750,-1.759530792,3.343108504,0,0,457.5177119,130.8098654,475.8504782,0.816626484,9.906700398
4372625,-1.935483871,12.49266862,0,0,231.1232158,222.5185478,320.8308666,0.800250228,9.012527064
4597500,-2.287390029,23.92961877,0,0,110.235778,167.8423395,200.8058208,0.768476336,7.638425826
4822375,-2.873900293,36.24633431,0,0,67.72496089,118.8428606,136.7855834,0.718298543,6.099714781
5047250,-3.753665689,49.61876833,0,0,49.86159948,85.21239691,98.72857585,0.649107632,4.699753495
5272125,-4.985337243,64.39882698,0,0,41.1021092,61.16700411,73.69386523,0.563291422,3.579713112
5497000,-6.627565982,81.29032258,0,0,36.36030868,42.82503124,56.17878023,0.466253066,2.747094125
5721875,-8.680351906,102.0527859,0,0,33.52714943,27.92332861,43.63235072,0.368114059,2.165128184
5946750,-10.4398827,130.0293255,0,0,30.79195756,15.58384032,34.51087842,0.30061169,1.859641735
6171625,-11.14369501,155.8944282,0,0,29.15967162,7.152546132,30.02407976,0.277214057,1.767070971
