W,fx0 (kHz),fy,omega,s1,s2,sT,D,function_to_minimize,,,
0.667,15.270,9.23,0.604453176,,,,,,,,
1.000,15.270,10.32,0.675834971,,,,,,,,
1.000,15.270,17.27,1.130975769,,,,,,,,
1.333,15.270,18.79,1.230517354,,,,,,,,
,,,,0.071381794,0.099542,0.626064178,0.346512031,0.999999488,,,
,,,,,,,,,,,
0.667,15.270,8.87,0.580877538,,,,,,,,
1.000,15.270,10.43,0.683038638,,,,,,,,
1.000,15.270,16.38,1.072691552,,,,,,,,
1.333,15.270,18.43,1.206941716,,,,,,,,
,,,,0.1021611,0.134250,0.626064178,0.414447547,0.999999581,,,
,,,,,,,,,,,
0.667,15.050,8.83,0.586710963,,,,,,,,
1.000,15.050,9.45,0.627906977,,,,,,,,
1.000,15.050,16.96,1.126910299,,,,,,,,
1.333,15.050,18.52,1.230564784,,,,,,,,
,,,,0.041196013,0.103654,0.643853821,0.307359818,0.99999943,,,
resistance: 2.80kOhms,,Y amplitude: 2.87 V,,,,,,,,,
,,,,,,,,,,,
0.750,17.950,12.84,0.715320334,,,,,,,,
1.000,17.950,15.54,0.865738162,,,,,,,,
1.000,17.950,19.92,1.109749304,,,,,,,,
1.250,17.950,22.61,1.259610028,,,,,,,,
,,,,0.150417827,0.149861,0.544289694,0.538191373,1.000000255,,,
,,,,,,,,,,,
,,,,,,,,,,,
0.750,17.950,12.82,0.714206128,,,,,,,,
1.000,17.950,15.51,0.864066852,,,,,,,,
1.000,17.950,19.92,1.109749304,,,,,,,,
1.250,17.950,22.59,1.258495822,,,,,,,,
,,,,0.149860724,0.148747,0.544289694,0.535868076,1.000000269,,,
,,,,,,,,,,,
,,,,,,,,,,,
0.750,17.930,12.81,0.71532033,,,,,,,,
1.000,17.930,15.51,0.86573816,,,,,,,,
1.000,17.930,19.91,1.1097493,,,,,,,,
1  1/4,17.930,22.59,1.25961003,,,,,,,,
,,,,0.15041783,0.149861,0.54428969,0.53819137,1.00000026,,,
,,,,,,,,,,,
0.667,17.930,11.49,0.640825432,,,,,,,11.489 on oscilloscope = 11.49/50 on function generator,
1.000,17.930,15.5,0.86447295,,,,,,,,
1.000,17.930,20.99,1.170663692,,,,,,,,
1.333,17.930,23.85,1.330172895,,,,,,,8.61 V on Ohmmeter = 10.5 V amplitude on oscilloscope- RMS?,
