Frequency,Returnloss,Returnphase,Transmissionloss,Transmissionphase,Rs,Xs,|Z|,Magnitude,SWR
100000,-0.117302053,60.70381232,0,0,1.322062171,85.37182613,85.3820622,0.986585884,148.0966691
324875,0.058651026,2.639296188,0,0,311.5843119,2124.823544,2147.547409,1.006775298,296.1899621
549750,0.058651026,1.759530792,0,0,683.0356064,3105.880259,3180.099027,1.006775298,296.1899621
774625,0.058651026,1.583577713,0,0,834.2168832,3414.096713,3514.537548,1.006775298,296.1899621
999500,0.058651026,1.759530792,0,0,683.0356064,3105.880259,3180.099027,1.006775298,296.1899621
1224375,0.058651026,2.287390029,0,0,411.9415166,2434.855404,2469.456752,1.006775298,296.1899621
1449250,0.058651026,2.815249267,0,0,274.5594567,1997.060642,2015.845754,1.006775298,296.1899621
1674125,0.058651026,3.695014663,0,0,160.6538317,1533.27104,1541.664599,1.006775298,296.1899621
1899000,0.058651026,4.574780059,0,0,105.2212618,1242.867783,1247.31385,1.006775298,296.1899621
2123875,0.058651026,5.630498534,0,0,69.64956166,1011.995923,1014.38987,1.006775298,296.1899621
2348750,0.058651026,6.51026393,0,0,52.17317776,876.039579,877.5918097,1.006775298,296.1899621
2573625,0,7.565982405,0,0,1.39477E-13,756.1806794,756.1806794,1,#DIV/0!
2798500,0,8.62170088,0,0,4.60533E-14,663.2986399,663.2986399,1,#DIV/0!
3023375,0.058651026,9.677419355,0,0,23.6879922,589.7034453,590.1790189,1.006775298,296.1899621
3248250,0.058651026,10.73313783,0,0,19.27353085,531.5666498,531.9159447,1.006775298,296.1899621
3473125,0.058651026,11.7888563,0,0,15.9893228,483.7777242,484.0418834,1.006775298,296.1899621
3698000,0.058651026,12.84457478,0,0,13.48014411,443.7958201,444.0005003,1.006775298,296.1899621
3922875,0.058651026,13.90029326,0,0,11.52007114,409.848392,410.0102639,1.006775298,296.1899621
4147750,0.058651026,14.95601173,0,0,9.959865786,380.6613927,380.7916685,1.006775298,296.1899621
