Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
100000,1.17,121.23,4.4,14.83,28.0,28.3
324875,1.00,154.84,3.0,17.44,11.1,11.5
549750,0.88,141.82,2.8,19.76,17.3,17.5
774625,0.65,129.50,2.3,26.94,23.5,23.7
999500,0.59,118.24,2.3,29.63,29.9,29.9
1224375,0.47,108.21,2.1,37.03,36.1,36.2
1449250,0.41,99.24,2.0,42.32,42.5,42.5
1674125,0.29,91.14,1.7,59.24,49.0,49.0
1899000,0.23,84.11,1.5,74.05,55.4,55.4
2123875,0.23,77.77,1.7,74.05,62.0,62.0
2348750,0.18,72.14,1.5,98.73,68.6,68.6
2573625,0.12,67.04,1.1,48.10,75.5,75.5
2798500,0.12,62.64,1.2,48.10,82.2,82.2
3023375,0.06,58.59,0.7,96.19,89.1,89.1
3248250,0.06,54.90,0.8,96.19,96.3,96.3
3473125,0.06,51.55,0.9,96.19,103.5,103.5
3698000,0.06,48.56,1.0,96.19,110.8,110.8
3922875,0.06,45.92,1.1,96.19,118.0,118.0
4147750,-0.00,43.28,0.0,?,126.0,126.0
4372625,-0.00,41.00,0.0,?,133.7,133.7
4597500,-0.00,38.89,0.0,?,141.6,141.6
4822375,-0.00,36.95,0.0,?,149.7,149.7
5047250,-0.06,35.01,1.9,96.19,158.5,158.5
5272125,-0.06,33.43,2.0,96.19,166.5,166.5
5497000,-0.06,31.85,2.2,96.19,175.2,175.2
5721875,-0.06,30.44,2.4,96.19,183.7,183.8
5946750,-0.06,29.21,2.7,96.19,191.9,191.9
6171625,-0.06,27.98,2.9,96.19,200.7,200.7
6396500,-0.06,26.74,3.2,96.19,210.3,210.3
6621375,-0.06,25.69,3.4,96.19,219.2,219.3
6846250,-0.06,24.63,3.7,96.19,228.9,229.0
7071125,-0.06,23.58,4.0,96.19,239.5,239.5
7296000,-0.06,22.70,4.4,96.19,249.0,249.1
7520875,-0.06,21.82,4.7,96.19,259.3,259.4
7745750,-0.06,20.94,5.1,96.19,270.5,270.5
7970625,-0.06,20.23,5.5,96.19,280.1,280.2
8195500,-0.06,19.53,5.9,96.19,290.4,290.5
8420375,-0.06,18.83,6.3,96.19,301.5,301.5
8645250,-0.06,18.12,6.8,96.19,313.4,313.4
8870125,-0.06,17.42,7.4,96.19,326.2,326.3
9095000,-0.06,16.72,8.0,96.19,340.2,340.2
9319875,-0.06,16.19,8.5,96.19,351.4,351.5
9544750,-0.06,15.48,9.3,96.19,367.5,367.7
9769625,-0.00,14.96,0.0,?,380.9,380.9
9994500,0.06,14.43,10.7,96.19,394.7,394.9
10219375,-0.00,13.90,0.0,?,410.2,410.2
10444250,0.06,13.37,12.4,96.19,426.2,426.3
10669125,0.06,12.84,13.5,96.19,443.8,444.0
10894000,0.06,12.32,14.7,96.19,462.9,463.2
11118875,0.06,11.96,15.5,96.19,476.6,476.9
11343750,-0.00,11.44,0.0,?,499.3,499.3
11568625,-0.00,11.09,0.0,?,515.3,515.3
11793500,0.06,10.56,19.9,96.19,540.5,540.8
12018375,-0.00,10.21,0.0,?,559.9,559.9
12243250,-0.00,9.85,0.0,?,580.1,580.1
12468125,-0.00,9.50,0.0,?,601.6,601.6
12693000,-0.00,8.97,0.0,?,637.2,637.2
12917875,-0.00,8.62,0.0,?,663.3,663.3
13142750,-0.00,8.27,0.0,?,691.6,691.6
13367625,-0.00,7.92,0.0,?,722.5,722.5
13592500,-0.00,7.57,0.0,?,756.2,756.2
13817375,-0.00,7.21,0.0,?,793.2,793.2
14042250,-0.00,7.04,0.0,?,813.1,813.1
14267125,-0.00,6.69,0.0,?,856.0,856.0
14492000,-0.00,6.33,0.0,?,903.6,903.6
14716875,0.06,5.98,61.7,96.19,952.9,954.9
14941750,-0.00,5.81,0.0,?,985.9,985.9
15166625,0.06,5.63,69.6,96.19,1012.0,1014.4
15391500,0.06,5.28,79.2,96.19,1078.9,1081.8
15616375,0.06,5.10,84.7,96.19,1115.7,1118.9
15841250,0.06,4.75,97.6,96.19,1197.4,1201.4
16066125,-0.00,4.57,0.0,?,1251.8,1251.8
16291000,-0.00,4.40,0.0,?,1301.9,1301.9
16515875,-0.00,4.05,0.0,?,1415.2,1415.2
16740750,-0.00,3.87,0.0,?,1479.6,1479.6
16965625,-0.00,3.70,0.0,?,1550.1,1550.1
17190500,-0.00,3.52,0.0,?,1627.6,1627.6
17415375,-0.00,3.34,0.0,?,1713.4,1713.4
17640250,-0.00,3.17,0.0,?,1808.6,1808.6
17865125,-0.00,2.99,0.0,?,1915.0,1915.0
18090000,-0.00,2.99,0.0,?,1915.0,1915.0
18314875,-0.00,2.82,0.0,?,2034.8,2034.8
18539750,-0.00,2.64,0.0,?,2170.5,2170.5
18764625,-0.00,2.46,0.0,?,2325.6,2325.6
18989500,-0.00,2.46,0.0,?,2325.6,2325.6
19214375,-0.00,2.29,0.0,?,2504.5,2504.5
19439250,-0.00,2.29,0.0,?,2504.5,2504.5
19664125,-0.00,2.11,0.0,?,2713.3,2713.3
19889000,-0.00,2.11,0.0,?,2713.3,2713.3
20113875,-0.00,1.94,0.0,?,2960.0,2960.0
20338750,-0.00,1.94,0.0,?,2960.0,2960.0
20563625,-0.00,1.94,0.0,?,2960.0,2960.0
20788500,-0.00,1.76,0.0,?,3256.1,3256.1
21013375,-0.00,1.76,0.0,?,3256.1,3256.1
21238250,-0.00,1.76,0.0,?,3256.1,3256.1
21463125,-0.00,1.76,0.0,?,3256.1,3256.1
21688000,-0.00,1.76,0.0,?,3256.1,3256.1
21912875,-0.00,1.76,0.0,?,3256.1,3256.1
22137750,-0.00,1.76,0.0,?,3256.1,3256.1
22362625,-0.00,1.76,0.0,?,3256.1,3256.1
22587500,-0.00,1.76,0.0,?,3256.1,3256.1
22812375,-0.00,1.76,0.0,?,3256.1,3256.1
23037250,-0.00,1.76,0.0,?,3256.1,3256.1
23262125,-0.00,1.76,0.0,?,3256.1,3256.1
23487000,-0.00,1.76,0.0,?,3256.1,3256.1
23711875,-0.00,1.76,0.0,?,3256.1,3256.1
